Year,month,Month name,Metropolitan train,Metropolitan tram,Metropolitan bus,Regional train,Regional coach,Regional bus,PetrolPrice,rainfall_mm,population,public_holiday_count
2022,2022-01,January,5778986,5372999,4124071,675856,51750,549859,1.59,79.6,6908213.0,3.0
2022,2022-02,February,8382008,7962117,6205045,865020,57210,985731,1.7,6.8,6908213.0,0.0
2022,2022-03,March,13045722,11614262,8476974,1298156,73664,1060923,1.88,54.2,6908213.0,1.0
2022,2022-04,April,11890697,10065400,6870377,1220454,73735,838558,1.8,72.6,7013957.0,5.0
2022,2022-05,May,12833409,10150913,7779324,1288118,71603,1121794,1.93,24.2,7013957.0,0.0
2022,2022-06,June,11842624,9590565,6943793,1239135,70919,926422,2.01,52.4,7013957.0,1.0
2022,2022-07,July,12019600,11129287,7332966,1314106,75239,975473,2.12,36.2,7164550.0,0.0
2022,2022-08,August,13095346,12361088,8338393,1349992,74401,1098964,1.75,59.4,7164550.0,0.0
2022,2022-09,September,12936260,11791504,7472155,1378784,74648,858200,1.74,48.8,7164550.0,2.0
2022,2022-10,October,12909284,12080170,8156542,1388467,68919,1159113,1.8,149.0,7315521.0,0.0
2022,2022-11,November,13072188,12137205,8312554,1366061,74053,1035487,1.84,73.8,7315521.0,1.0
2022,2022-12,December,11867965,10945095,7434002,1372918,85612,863993,1.84,42.4,7315521.0,3.0
2023,2023-01,January,10109375,12245668,7090984,1295225,84946,820221,1.8,20.2,7509538.0,3.0
2023,2023-02,February,12831622,12894448,8608284,1424645,77949,1096006,1.95,23.6,7509538.0,0.0
2023,2023-03,March,16527142,15292063,10301621,1869164,88964,1247122,1.9,48.8,7509538.0,1.0
2023,2023-04,April,13288137,12402173,8124564,1469224,89335,938444,1.83,108.6,7655158.0,5.0
2023,2023-05,May,15312507,12760569,9848630,1743181,95859,1222849,1.83,77.8,7655158.0,0.0
2023,2023-06,June,13115087,11602791,8635816,1693444,94894,1049480,1.89,52.8,7655158.0,1.0
2023,2023-07,July,14020167,12335062,9219892,1846565,99755,1148259,1.95,20.6,7826367.0,0.0
2023,2023-08,August,16437412,13280460,10304037,1807251,98413,1255113,1.99,22.4,7826367.0,0.0
2023,2023-09,September,14847177,12149257,9260131,1775964,100982,1103635,2.03,10.8,7826367.0,1.0
2023,2023-10,October,15199277,12453509,10083249,1849701,106717,1242909,2.01,76.0,7951896.0,0.0
2023,2023-11,November,14653512,12503061,9872183,1808656,104648,1190730,2.01,42.4,7951896.0,1.0
2023,2023-12,December,13516661,12173168,8548817,1759529,111120,1009701,1.93,71.4,7951896.0,2.0
2024,2024-01,January,13254775,11821351,8335210,1758433,113350,841044,1.96,108.8,8108753.0,2.0
2024,2024-02,February,15828610,13427105,10441479,1781717,104337,1115173,1.92,6.2,8108753.0,0.0
2024,2024-03,March,17171572,14840535,10596736,2042080,112283,1116628,1.99,2.8,8108753.0,4.0
2024,2024-04,April,15943432,14241713,9271098,2009412,114813,1056862,1.99,123.8,8189522.0,2.0
2024,2024-05,May,17201139,13914626,10256661,2164662,109868,1247979,1.99,26.4,8189522.0,0.0
2024,2024-06,June,14454677,11656478,8706404,1882061,104351,994915,1.98,20.6,8189522.0,1.0
2024,2024-07,July,15901814,13019738,9829583,2084437,110936,1068435,1.95,72.6,8296385.0,0.0
2024,2024-08,August,17273609,13714916,10737761,2122092,108656,1183307,1.92,28.8,8296385.0,0.0
2024,2024-09,September,15323401,11695377,9188549,1970804,107465,1027230,1.92,48.0,8296385.0,1.0
2024,2024-10,October,16934209,14575255,10555383,2277335,126770,1193762,1.85,51.8,8383369.0,0.0
2024,2024-11,November,14968410,13548253,9323924,2001615,112359,940930,1.82,63.4,8383369.0,1.0
2024,2024-12,December,13603360,13101396,8687979,1977501,121320,921439,1.95,38.6,8383369.0,2.0
2025,2025-01,January,13379440,12523366,8183939,1923083,122422,782149,1.85,62.6,8526679.0,2.0
2025,2025-02,February,14514256,13058985,9179004,1927292,104244,1025310,1.83,45.2,8526679.0,0.0
2025,2025-03,March,17994138,15300456,10650660,2340160,119824,1147175,1.78,40.4,8526679.0,1.0
2025,2025-04,April,15480989,13414808,9353277,2107410,116481,961133,1.81,19.8,8608890.0,5.0
2025,2025-05,May,17588793,14443916,10384586,2334482,111430,1110728,1.75,21.2,8608890.0,0.0
2025,2025-06,June,14442545,11792860,8809813,1995473,110283,962106,1.86,56.0,8608890.0,1.0
2025,2025-07,July,15451503,12651420,9573219,2222082,113079,956183,1.88,37.6,8719980.0,0.0
2025,2025-08,August,16189046,12233414,9969102,2230571,106863,990904,1.9,37.4,8719980.0,0.0
2025,2025-09,September,14998479,11515404,9143531,2136275,105410,940369,1.85,17.6,8719980.0,1.0
2025,2025-10,October,15977164,12402127,10077976,2286247,118470,1117069,1.84,78.6,,0.0
2025,2025-11,November,14297664,12265500,8815809,2060472,107793,936233,1.83,127.8,,1.0
2025,2025-12,December,14894850,12069311,8281774,2157499,122578,895411,1.85,27.8,,2.0
2026,2026-01,January,14263509,11822424,7624940,1604510,110891,771902,1.96,1.6,,
