Variable,(1) Bivariate,(2) Controls,(3) Controls + Season FE,(4) Log-Linear
Petrol Price ($/L),"21,687,388
(16,126,313)","17,119,820
(11,190,861)","17,667,943**
(7,448,140)","0.648**
(0.324)"
Rainfall (mm),—,"-5,794
(18,414)","-1,964
(23,060)","0.000
(0.001)"
Population,—,"26***
(6)","27***
(5)","0.000***
(0.000)"
Public Holidays,—,"-532,963
(474,793)","-217,499
(849,933)","-0.005
(0.033)"
Constant,"-2,553,521
(30,695,294)","-175,625,701***
(50,563,773)","-187,636,889***
(44,894,108)","10.518***
(1.753)"
Seasonal FE,No,No,Yes,Yes
N,48,48,48,48
R²,0.141,0.543,0.829,0.791
